query_id,query_text,total_answers,retrieved_count,missed_count,recall@50,recall@20,hit@1,hit@5,mrr
2905,Can you recommend a high-quality carabiner clip keychain that's around 7 inches long?,13,0,13,0.0,0.0,0.0,0.0,0.0
3863,"Looking for a lightweight Outerstuff brand Boston Bruins youth T-shirt from the NHL, with a shipping weight around 6.4 ounces.",3,2,1,0.6666666666666666,0.6666666666666666,0.0,1.0,0.25
4651,What is a good Outlander internal frame camping backpack with multiple internal and external pockets for convenient access to accessories? I'm not particular about the color.,2,2,0,1.0,0.0,0.0,0.0,0.023255813953488372
8633,I'm looking for a swim training snorkel that has a noticeable difference in fit with and without a swimming cap. The one I currently have always needs tape to keep it steady. Any suggestions?,8,2,6,0.25,0.25,0.0,1.0,0.3333333333333333
8973,Can you recommend any UP100 marine hardware suitable for a 25.4mm pipe to use on my boat?,1,0,1,0.0,0.0,0.0,0.0,0.0
3478,"What are some lightweight running socks suitable for a St. Patrick's Day marathon, weighing around 2.4 ounces for shipping?",3,1,2,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0
2905,Can you recommend a high-quality carabiner clip keychain that's around 7 inches long?,13,0,13,0.0,0.0,0.0,0.0,0.0
3863,"Looking for a lightweight Outerstuff brand Boston Bruins youth T-shirt from the NHL, with a shipping weight around 6.4 ounces.",3,3,0,1.0,0.6666666666666666,1.0,1.0,1.0
4651,What is a good Outlander internal frame camping backpack with multiple internal and external pockets for convenient access to accessories? I'm not particular about the color.,2,2,0,1.0,1.0,0.0,1.0,0.25
2905,Can you recommend a high-quality carabiner clip keychain that's around 7 inches long?,13,0,13,0.0,0.0,0.0,0.0,0.0
3863,"Looking for a lightweight Outerstuff brand Boston Bruins youth T-shirt from the NHL, with a shipping weight around 6.4 ounces.",3,3,0,1.0,0.6666666666666666,1.0,1.0,1.0
4651,What is a good Outlander internal frame camping backpack with multiple internal and external pockets for convenient access to accessories? I'm not particular about the color.,2,2,0,1.0,0.0,0.0,0.0,0.02040816326530612
2905,Can you recommend a high-quality carabiner clip keychain that's around 7 inches long?,13,0,13,0.0,0.0,0.0,0.0,0.0
3863,"Looking for a lightweight Outerstuff brand Boston Bruins youth T-shirt from the NHL, with a shipping weight around 6.4 ounces.",3,3,0,1.0,1.0,1.0,1.0,1.0
2905,Can you recommend a high-quality carabiner clip keychain that's around 7 inches long?,13,0,13,0.0,0.0,0.0,0.0,0.0
3863,"Looking for a lightweight Outerstuff brand Boston Bruins youth T-shirt from the NHL, with a shipping weight around 6.4 ounces.",3,2,1,0.6666666666666666,0.3333333333333333,0.0,0.0,0.07142857142857142
4651,What is a good Outlander internal frame camping backpack with multiple internal and external pockets for convenient access to accessories? I'm not particular about the color.,2,2,0,1.0,0.5,1.0,1.0,1.0
2905,Can you recommend a high-quality carabiner clip keychain that's around 7 inches long?,13,0,13,0.0,0.0,0.0,0.0,0.0
3863,"Looking for a lightweight Outerstuff brand Boston Bruins youth T-shirt from the NHL, with a shipping weight around 6.4 ounces.",3,3,0,1.0,1.0,0.0,0.0,0.1
4651,What is a good Outlander internal frame camping backpack with multiple internal and external pockets for convenient access to accessories? I'm not particular about the color.,2,2,0,1.0,1.0,0.0,1.0,0.3333333333333333
8633,I'm looking for a swim training snorkel that has a noticeable difference in fit with and without a swimming cap. The one I currently have always needs tape to keep it steady. Any suggestions?,8,3,5,0.375,0.25,1.0,1.0,1.0
8973,Can you recommend any UP100 marine hardware suitable for a 25.4mm pipe to use on my boat?,1,0,1,0.0,0.0,0.0,0.0,0.0
3478,"What are some lightweight running socks suitable for a St. Patrick's Day marathon, weighing around 2.4 ounces for shipping?",3,0,3,0.0,0.0,0.0,0.0,0.0
3370,Where can I find Beyond Yoga leggings for women?,1,0,1,0.0,0.0,0.0,0.0,0.0
2135,"Can you suggest a CHAMPRO basketball rack that's easy to assemble? I already own the BSN Compact Ball Locker and the Baden Steel rack, so I'm not interested in similar items.",3,3,0,1.0,1.0,1.0,1.0,1.0
291,Can you suggest a digital compass with dual alarms available on Amazon?,20,2,18,0.1,0.1,1.0,1.0,1.0
8215,"What are some lightweight, around 7 ounces, Red Plume men's compression sports shirts suitable for various types of workouts?",3,1,2,0.3333333333333333,0.3333333333333333,0.0,0.0,0.14285714285714285
